N;Code;New;Name;Price;Izd;Pages;Format;Date;Pressrun;Themes;Category
351;1977;ЛОЖЬ;Лексикон 97 для всех.;4,59;Компьютер Пресс;224;84х108/32;10.09.1997;11000;Текстовые редакторы;Другие редакторы
352;2670;ЛОЖЬ;Практический курс Adobe Acrobat 3.0 с приложением.;35,00;КубК;326;60х90\16;23.08.1997;3000;Текстовые редакторы;Другие редакторы
353;2302;ЛОЖЬ;Издательская система  LATEX 2е;16,71;Новосибирск;496;60х84\16;15.07.1998;3000;Текстовые редакторы;Другие редакторы
354;728;ЛОЖЬ;Word 6 наглядно.3-D Серия;8,00;Центрполиграф;250;100х70\16;;0;Текстовые редакторы;Другие редакторы
355;2714;ЛОЖЬ;MS Excel 97. Справочник.;9,78;Питер;320;84х108\32;05.11.1998;4000;Электронные таблицы;Excel 97
356;4773;ЛОЖЬ;Excel 2000: руководство разработчика;39,00;BHV Киев;704;70х100/16;16.03.2000;0;Электронные таблицы;Excel 2000
357;4464;ЛОЖЬ;Машиностроительные расчеты в среде Excel  97/ 2000.;22,44;BHV С.-Петербург;416;70х100/16;11.01.2000;3000;Электронные таблицы;Excel 2000
358;4745;ЛОЖЬ;Microsoft Excel 2000. разработка приложений;28,60;BHV С.-Петербург;576;70х100/16;24.03.2000;5000;Электронные таблицы;Excel 2000
359;3910;ЛОЖЬ;Microsoft Excel 2000. В подлиннике;39,20;BHV С.-Петербург;1088;70х100/16;24.06.1999;3000;Электронные таблицы;Excel 2000
360;4611;ЛОЖЬ;Excel 2000. Базовый курс;15,00;Век+;400;70х100/16;06.01.2000;5000;Электронные таблицы;Excel 2000
361;4747;ЛОЖЬ;Бизнес-анализ с помощью Excel 2000.;18,90;Вильямс;480;70х100/16;07.03.2000;4000;Электронные таблицы;Excel 2000
362;4850;ЛОЖЬ;Освой самостоятельно программирование для Microsoft Excel 2000 за 24 часа.;24,52;Вильямс;304;70х100/16;22.05.2000;4000;Электронные таблицы;Excel 2000
363;4311;ЛОЖЬ;Excel  Практическое руководство;14,53;ДЭСС;301;70х100/16;01.10.1999;3000;Электронные таблицы;Excel 2000
364;4242;ЛОЖЬ;"Excel 2000 для Windows для ""чайников""";13,98;Диалектика;381;70х100/16;22.11.1999;4000;Электронные таблицы;Excel 2000
365;5043;ЛОЖЬ;Excel 2000. Наглядно, понятно, быстро;13,64;Лаборатория Базовых Знаний;336;70х100/16;;5000;Электронные таблицы;Excel 2000
366;3937;ЛОЖЬ;MS Excel 2000. Справочник;9,72;Питер;480;84х108/32;26.05.1999;7000;Электронные таблицы;Excel 2000
367;4286;ЛОЖЬ;Access 97.Шаг за шагом,русская версия с приложением;24,50;Эком;328;;19.03.1999;5000;Настольные базы данных;Access 97
368;4927;ЛОЖЬ;Access 2000. Руководство разработчика (+CD) 1 том;55,80;BHV Киев;1264;70х100/16;10.04.2000;4000;Настольные базы данных;Access 2000
369;3907;ЛОЖЬ;Самоучитель Microsoft Access 2000;19,32;BHV С.-Петербург;480;70х100/16;02.07.1999;3000;Настольные базы данных;Access 2000
370;4928;ЛОЖЬ;Microsoft Access 2000 за 30 занятий;20,60;BHV С.-Петербург;512;70х100/16;06.06.2000;4000;Настольные базы данных;Access 2000
371;3911;ЛОЖЬ;Microsoft Access 2000. В подлиннике;31,39;BHV С.-Петербург;1088;70х100/16;08.07.1999;3000;Настольные базы данных;Access 2000
372;5096;ЛОЖЬ;Программирование в среде Access 2000. Энциклопедия пользователя ( + CD-ROM );75,00;DiaSoft;544;84х108/16;05.06.2000;2000;Настольные базы данных;Access 2000
373;4911;ЛОЖЬ;Освой самостоятельно программирование для Microsoft Access 2000 за 24 часа;24,60;Вильямс;448;70х100/16;16.06.2000;5000;Настольные базы данных;Access 2000
374;4301;ЛОЖЬ;Использование Microsoft Access 2000.;48,00;Вильямс;1147;70х100/16;20.12.1999;3500;Настольные базы данных;Access 2000
375;4859;ЛОЖЬ;Для пользователей Access 2000. Проектирование баз данных;16,76;ДМК;272;70х100/16;28.04.2000;3000;Настольные базы данных;Access 2000
376;5160;ЛОЖЬ;Access 2000 для Windows для чайников;18,90;Диалектика;336;70х100/16;20.09.2000;5000;Настольные базы данных;Access 2000
377;4981;ЛОЖЬ;Access 2000 . Библия  пользователя+ CD;57,00;Диалектика;1040;70х100/16;18.07.2000;4000;Настольные базы данных;Access 2000
378;4803;ЛОЖЬ;Access 2000. Руководство пользователя с примерами;38,57;Лаборатория Базовых Знаний;376;70х100/16;22.03.2000;3000;Настольные базы данных;Access 2000
379;4313;ЛОЖЬ;Access 2000. Шаг за шагом.Русская версия с приложением;26,87;Эком;352;70х100/16;22.11.1999;5000;Настольные базы данных;Access 2000
380;4006;ЛОЖЬ;Использование Visual FoxPro 6. Специальное издание;47,40;Вильямс;928;70х100/16;04.06.1999;3000;Настольные базы данных;FoxPro
381;4119;ЛОЖЬ;Visual FoxPro 6.;32,92;ДМК;588;70х100/16;10.11.1999;3000;Настольные базы данных;FoxPro
382;5005;ЛОЖЬ;Работа с базами данных в Delphi.;28,50;BHV С.-Петербург;656;70х100/16;18.08.2000;3000;Настольные базы данных;Другие базы данных
383;5410;ЛОЖЬ;Базы данных: проекирование, реализация и сопровождение. Теория и практика. 2е изд.;37,80;Вильямс;1120;70х100/16;21.11.2000;5000;Настольные базы данных;Другие базы данных
384;4755;ЛОЖЬ;Введение в системы баз данных.;45,63;Лори;374;70х100/16;10.02.2000;3500;Настольные базы данных;Другие базы данных
385;3387;ЛОЖЬ;Базы данных: разработка и управление;38,57;Бином;0;;;0;Настольные базы данных;Базы данных в целом
386;4089;ЛОЖЬ;Введение в системы баз данных, 6е издание;36,00;Вильямс;848;70х100/16;05.08.1999;4000;Настольные базы данных;Базы данных в целом
387;3903;ЛОЖЬ;Доступ к базам данных и техника работы в сети. Практические приемы современного программирования;12,41;Диалог-МИФИ;416;60х84/16;20.05.1999;4000;Настольные базы данных;Базы данных в целом
388;5058;ЛОЖЬ;Базы данных;23,23;Корона Принт;416;70х100/16;26.07.2000;3000;Настольные базы данных;Базы данных в целом
389;4897;ЛОЖЬ;Базы данных.Интеллектуальная обработка информации;22,61;Нолидж;352;70х100/16;07.06.2000;3000;Настольные базы данных;Базы данных в целом
390;910;ЛОЖЬ;Oracle 8: рекомендации разработчикам;4,50;BHV Киев;128;70х100\16;20.01.1998;5000;Базы данных клиент-сервер;Oracle
391;4252;ЛОЖЬ;"Приложение к книге ""Oracle 8.  Энциклопедия пользователя"" доптираж";7,00;DiaSoft;0;;;2000;Базы данных клиент-сервер;Oracle
392;4941;ЛОЖЬ;Приложение к книге Внутренний Мир Oracle8 проэктирование и настройка;7,00;DiaSoft;0;;;2000;Базы данных клиент-сервер;Oracle
393;942;ЛОЖЬ;Oracle 7.3. Пособие разработчика ( + CD-ROM );42,00;DiaSoft;736;84х108/16;20.12.1997;3000;Базы данных клиент-сервер;Oracle
394;641;ЛОЖЬ;ORACLE 7.3. Энциклопедия пользователя  ( + CD-ROM );60,00;DiaSoft;832;60х84\8;05.09.1997;3000;Базы данных клиент-сервер;Oracle
395;1493;ЛОЖЬ;Oracle 8. Энциклопедия пользователя ( + CD-ROM );60,00;DiaSoft;864;60х84/8;10.06.1998;3000;Базы данных клиент-сервер;Oracle
396;4925;ЛОЖЬ;Внутренний мир Oracle8. Проектирование и настройка.( + CD-ROM );75,00;DiaSoft;800;84х108/16;24.04.2000;2000;Базы данных клиент-сервер;Oracle
397;5057;ЛОЖЬ;Oracle 8/8i Server. Энциклопедия пользователя.;75,00;DiaSoft;576;84х108/16;22.08.2000;2000;Базы данных клиент-сервер;Oracle
398;4237;ЛОЖЬ;Использование Oracle 8 tm / 8im Специальное издание.С приложением.;57,00;Вильямс;1022;70х100/16;01.11.1999;4000;Базы данных клиент-сервер;Oracle
399;4816;ЛОЖЬ;Аналитические системы на базе Oracle Express OLAP;13,87;Диалог-МИФИ;320;60х84/16;10.02.2000;2000;Базы данных клиент-сервер;Oracle
400;964;ЛОЖЬ;Oracle 8 Архитектура;68,34;Лори;210;84х108/16;13.04.1998;5500;Базы данных клиент-сервер;Oracle
401;2798;ЛОЖЬ;Oracle. Developer\2000. Настольная книга пользователя.;75,82;Лори;382;84х108\16;12.01.1999;4000;Базы данных клиент-сервер;Oracle
402;4284;ЛОЖЬ;Oracle 8 Designer.Настольная книга пользователя;84,38;Лори;0;;;0;Базы данных клиент-сервер;Oracle
403;5521;ИСТИНА;SQL. Полное руководство. 2е изд. пер. и доп.;49,10;BHV Киев;816;70х100/16;26.12.2000;5000;Базы данных клиент-сервер;SQL
404;4685;ЛОЖЬ;Администрирование MS SQL Server 7.0.;21,34;BHV С.-Петербург;496;70х100/16;02.03.2000;3000;Базы данных клиент-сервер;SQL
405;1033;ЛОЖЬ;SQL. Энциклопедия пользователя ( + CD-ROM );60,00;DiaSoft;612;60х84/8;24.04.1998;1500;Базы данных клиент-сервер;SQL
406;3975;ЛОЖЬ;Использование Microsoft SQL Server 7.0. Специальное издание;50,99;Вильямс;816;70х100/16;01.06.1999;3500;Базы данных клиент-сервер;SQL
407;894;ЛОЖЬ;Microsoft SQL Server. Руководство администратора;35,27;Лори;210;84х100/16;25.02.1998;5500;Базы данных клиент-сервер;SQL
408;5023;ЛОЖЬ;MCSE/ MCSD SQL Server 7. Проектирование баз данных;35,37;Лори;426;70х100/16;;3200;Базы данных клиент-сервер;SQL
409;5022;ЛОЖЬ;MCSE: SQL Server 7. Администрирование;35,94;Лори;476;70х100/16;;3200;Базы данных клиент-сервер;SQL
410;4503;ЛОЖЬ;Administering SQL Server 7. Сертификационный экзамен экстерном;12,00;Питер;480;60х90/16;25.12.1999;7000;Базы данных клиент-сервер;SQL
411;4757;ЛОЖЬ;Официальный тест MCSE 70-028: Administering Microsoft SQL Server 7.0;29,36;Русская редакция;400;70х100/16;05.01.2000;4000;Базы данных клиент-сервер;SQL
412;5496;ИСТИНА;SQL Server 2000. Новейшие технологии +CD;35,63;Русская редакция;576;60х90/16;05.02.2001;5000;Базы данных клиент-сервер;SQL
413;5076;ЛОЖЬ;Руководство администратора SQL Server 7.0;38,72;Русская редакция;642;;25.07.2000;4000;Базы данных клиент-сервер;SQL
414;2010;ЛОЖЬ;Informix. Энциклопедия пользователя;60,00;DiaSoft;800;60х84/8;17.08.1998;2000;Базы данных клиент-сервер;Informix
415;4655;ЛОЖЬ;Введение в СУБД Informix;11,75;Диалог-МИФИ;272;60х84/16;04.02.2000;1000;Базы данных клиент-сервер;Informix
416;3983;ЛОЖЬ;Руководство Informix-OnLine Dynamic Server;39,44;Лори;314;70х100/16;01.06.1999;3200;Базы данных клиент-сервер;Informix
417;5484;ИСТИНА;Oracle 101. Настольная книга администратора;68,25;Лори;489;70х100/16;20.01.2001;3200;Базы данных клиент-сервер;Другие базы
418;3913;ЛОЖЬ;Каталог Photoshop Plug-Ins;17,49;BHV С.-Петербург;464;70х100/16;14.05.1999;3000;Графика и анимация;Photoshop
419;812;ЛОЖЬ;Adobe Photoshop 4.0 в подлиннике;37,20;BHV С.-Петербург;416;70х100/16;12.02.1996;5000;Графика и анимация;Photoshop
420;5512;ИСТИНА;Adobe Photoshop 6.0. Полный справочник-путеводитель по меню и инструментам;4,00;DiaSoft;32;84х108/16;12.02.2001;1000;Графика и анимация;Photoshop
421;2472;ЛОЖЬ;Внутренний мир Adobe Photoshop 5 ( + CD-ROM );19,00;DiaSoft;496;84х108\16;13.08.1997;3000;Графика и анимация;Photoshop
422;1556;ЛОЖЬ;Магия Photoshop 4.0. Том 1: Оформление текстов  ( + CD-ROM );29,00;DiaSoft;352;84х108/16;11.05.1998;3000;Графика и анимация;Photoshop
423;749;ЛОЖЬ;Внутренний мир Adobe Photoshop 4 ( + CD-ROM );60,00;DiaSoft;544;84х108\16;13.08.1997;3000;Графика и анимация;Photoshop
424;4085;ЛОЖЬ;Photoshop 5.5 для Windows. Библия пользователя;37,80;Диалектика;832;70х100/16;24.09.1999;4000;Графика и анимация;Photoshop
425;1600;ЛОЖЬ;Практика работы с Photoshop 4;44,64;Диалектика;0;;;5000;Графика и анимация;Photoshop
426;3332;ЛОЖЬ;Техническая поддержка Photoshop 4;7,10;Комиздат;256;84х108/32;15.04.1998;0;Графика и анимация;Photoshop
427;744;ЛОЖЬ;Adobe Photoshop 4.0 + CD Практический курс;35,00;КубК;288;;;0;Графика и анимация;Photoshop
428;5114;ЛОЖЬ;MS Visio 2000 краткий курс;8,10;Питер;256;84х100/32;01.09.2000;4000;Графика и анимация;Photoshop
429;972;ЛОЖЬ;Adobe Illustrator 7;28,20;BHV С.-Петербург;381;70х100/16;20.01.1998;7000;Графика и анимация;Illustrator
430;5457;ЛОЖЬ;Adobe Illustrator 9.0;28,49;BHV С.-Петербург;608;70х100/16;26.01.2001;5000;Графика и анимация;Illustrator
431;1274;ЛОЖЬ;Illustrator 7 без проблем с приложением.;19,80;Бином;560;70х90/16;29.03.1998;6000;Графика и анимация;Illustrator
432;1804;ЛОЖЬ;Illustrator 7. Библия пользователя с приложением;9,90;Диалектика;608;84х108/16;01.07.1998;5000;Графика и анимация;Illustrator
433;309;ЛОЖЬ;Adobe Illustrator (версия 6.0)+CD;40,00;КубК;0;;;0;Графика и анимация;Illustrator
434;5066;ЛОЖЬ;CorelDRAW 9: все программы пакета.;44,88;BHV С.-Петербург;1136;70х100/16;21.07.2000;4000;Графика и анимация;CorelDraw
435;169;ЛОЖЬ;CorelDraw! 6 для экспертов ( + CD-ROM );10,00;DiaSoft;608;60х84/16;10.01.1997;5000;Графика и анимация;CorelDraw
436;5515;ИСТИНА;CorelDRAW 10 для дизайнера;29,00;DiaSoft;880;70х100/16;05.03.2001;3000;Графика и анимация;CorelDraw
437;264;ЛОЖЬ;CorelDraw 6 для профи;8,00;Бизнес-Информ;614;84х100\16;01.01.1996;5000;Графика и анимация;CorelDraw
438;2468;ЛОЖЬ;Библия пользователя CorelDRAW 8 c CD;34,92;Диалектика;0;;;0;Графика и анимация;CorelDraw
439;4517;ЛОЖЬ;CorelDraw 9.Справочник;15,19;Лаборатория Базовых Знаний;464;70х100/32;;5000;Графика и анимация;CorelDraw
440;4479;ЛОЖЬ;CorelDraw 9. Руководство пользователя с примерами и упражнениями;37,76;Лаборатория Базовых Знаний;560;70х100/16;12.11.1999;5000;Графика и анимация;CorelDraw
441;5224;ЛОЖЬ;CorelDraw 9: справочник;15,06;Питер;496;70х100/16;19.10.2000;5000;Графика и анимация;CorelDraw
442;5354;ЛОЖЬ;Corel DRAW 10: Новейшие версии программы;23,00;Триумф;320;70х100/16;;5000;Графика и анимация;CorelDraw
443;4238;ЛОЖЬ;Моделирование в 3D Studio Max 3.0 с приложением.;25,28;BHV С.-Петербург;342;70х100/16;25.11.1999;4000;Графика и анимация;3D Studio
444;4305;ЛОЖЬ;3D Studio Max 3.0. от объекта до анимации.;29,32;BHV С.-Петербург;473;70х100/16;20.12.1999;3000;Графика и анимация;3D Studio
445;4634;ЛОЖЬ;Внутренний мир 3D Studio MAX 3 : Моделирование, материалы и визуализация  ( + CD-ROM );19,00;DiaSoft;456;84х108/16;11.10.1999;3000;Графика и анимация;3D Studio
446;3925;ЛОЖЬ;Внутренний мир 3D Studio MAX 2. Том 3: Анимация ( + CD-ROM );29,00;DiaSoft;408;84х108/16;12.05.1999;3000;Графика и анимация;3D Studio
447;2860;ЛОЖЬ;Внутренний мир 3D Studio MAX 2.  Том 2: Моделирование и материалы ( + CD-ROM );29,00;DiaSoft;368;84х108\16;26.02.1999;3000;Графика и анимация;3D Studio
448;5080;ЛОЖЬ;Внутренний мир 3D Studio MAX 3: моделирование,материалы визуализации и анимация  ( + CD-ROM ).;29,00;DiaSoft;720;84х108/16;26.06.2000;3000;Графика и анимация;3D Studio
449;649;ЛОЖЬ;3D Studio MАХ..Внутренний мир. Том 2-й ( + CD-ROM );37,00;DiaSoft;432;84х108/16;22.10.1997;3000;Графика и анимация;3D Studio
450;570;ЛОЖЬ;Внутренний мир  3D Studio MAX. Том 1 ( + CD-ROM );60,00;DiaSoft;752;84х108/8;07.05.1997;3000;Графика и анимация;3D Studio
451;2471;ЛОЖЬ;Внутренний мир 3D Studio MAX 2. Том 1 ( + CD-ROM ).;61,00;DiaSoft;848;84х108/16;06.11.1998;3000;Графика и анимация;3D Studio
452;5002;ЛОЖЬ;3D Studio MAX 3. Учебник  ( + CD-ROM );19,00;DiaSoft UP;480;70х100/16;10.06.2000;3000;Графика и анимация;3D Studio
453;4327;ЛОЖЬ;Inside 3D Studio MAX (Volume 2)(+CD);313,26;New Riders Publishing;0;;;0;Графика и анимация;3D Studio
454;4326;ЛОЖЬ;Inside 3D Studio MAX (Volume 1)(+CD);341,76;New Riders Publishing;0;;;0;Графика и анимация;3D Studio
455;4328;ЛОЖЬ;Inside 3D Studio MAX (Volume 3)(+CD);341,76;New Riders Publishing;0;;;0;Графика и анимация;3D Studio
456;4118;ЛОЖЬ;Изучаем трехмерный дизайн с 3D Studio MAX 2.5/3.0;27,89;ДМК;381;70х100/16;04.11.1999;5000;Графика и анимация;3D Studio
457;4907;ЛОЖЬ;3D Studio Max Практическое руководство от версии 3.0 к версии 3.1;36,04;ДЭСС;496;70х100/16;01.06.2000;5000;Графика и анимация;3D Studio
458;4628;ЛОЖЬ;3D Studio Max R3. Спецэффекты и дизайн + CD;37,80;Диалектика;400;70х100/16;08.02.2000;3500;Графика и анимация;3D Studio
459;3964;ЛОЖЬ;Виртуозная работа в 3D Studio Max 3.0. Кратко, доступно, просто.;7,31;Познавательная книга плюс;192;60х84/16;31.05.1999;3500;Графика и анимация;3D Studio
460;1464;ЛОЖЬ;Macromedia FreeHand 7;18,15;BHV С.-Петербург;320;70х100/16;18.05.1998;7000;Графика и анимация;FreeHand
461;4185;ЛОЖЬ;FreeHend 8.Искусство векторной графики;23,49;Нолидж;510;70х100/16;29.10.1999;3000;Графика и анимация;FreeHand
462;5483;ИСТИНА;FreeHand 9. Справочник;16,50;Питер;416;70х100/16;27.11.2000;5000;Графика и анимация;FreeHand
463;5069;ЛОЖЬ;Внутренний мир Flash 4 для дизайнера. ( + CD-ROM );19,00;DiaSoft;448;70х100/16;05.09.2000;3000;Графика и анимация;Графика для Интернет
464;5029;ЛОЖЬ;Внутренний мир  Bryce 4 для дизайнера  ( + CD-ROM );23,00;DiaSoft;336;70х100/16;10.07.2000;3000;Графика и анимация;Графика для Интернет
465;5262;ЛОЖЬ;Внутренний мир FLASH 5 для дизайнера ( + CD-ROM );29,00;DiaSoft;496;70х100/16;01.12.2000;3000;Графика и анимация;Графика для Интернет
466;2101;ЛОЖЬ;Adobe Web-дизайн и публикация. Энциклопедия пользователя ( + CD-ROM );39,00;DiaSoft;650;60х84/8;28.08.1998;3000;Графика и анимация;Графика для Интернет
467;4296;ЛОЖЬ;Трехмерное моделирование в системе Bryce. Версии 3D и 4;41,29;ДМК;432;70х100/16;10.01.2000;0;Графика и анимация;Графика для Интернет
468;4824;ЛОЖЬ;Macromedia Flash 4. Интерактивная веб- анимация;48,05;ДМК;672;70х100/16;21.04.2000;5000;Графика и анимация;Графика для Интернет
469;5525;ИСТИНА;Flash 5. Неформальное руководство пользователя;5,42;Майор;192;60х84/16;04.12.2000;4000;Графика и анимация;Графика для Интернет
470;4902;ЛОЖЬ;Flash 4.Анимация в Интернете. ( + CD-ROM );40,53;Символ +;464;70х100/16;01.06.2000;5000;Графика и анимация;Графика для Интернет
471;4901;ЛОЖЬ;Adobe InDesign: дизайн и верстка.;24,31;BHV С.-Петербург;544;70х100/16;09.06.2000;3000;Графика и анимация;Другие книги
472;5155;ЛОЖЬ;"Приложение "" Внутренний мир Bryce 4 для дизайнера""";7,00;DiaSoft;0;;;3000;Графика и анимация;Другие книги
473;5154;ЛОЖЬ;"Приложение "" Внутренний мир Flash 4 для дизайнера""";7,00;DiaSoft;0;;;3000;Графика и анимация;Другие книги
474;4860;ЛОЖЬ;Эффекты в программах растровой графики;36,12;Бином;496;70х100/16;12.05.2000;3000;Графика и анимация;Другие книги
475;5436;ЛОЖЬ;Flash 5. Анимация в Интернет;21,32;ДЕСС КОМ;352;70х100/16;05.01.2001;1000;Графика и анимация;Другие книги
476;5543;ИСТИНА;Maya 3. Трехмерная графика и визуализация;35,00;ДЕСС КОМ;448;70х100/16;05.03.2001;1000;Графика и анимация;Другие книги
477;3931;ЛОЖЬ;Дизайн текста : шрифт, эффекты, цвет;25,21;ДМК;304;70х100/16;15.06.1999;3000;Графика и анимация;Другие книги
478;4480;ЛОЖЬ;Создание фотореалистических изображений;36,83;ДМК;376;70х100/16;20.12.1999;0;Графика и анимация;Другие книги
479;3981;ЛОЖЬ;Создание трехмерных персонажей. Уроки мастерства;38,78;ДМК;448;70х100/16;12.07.1999;3000;Графика и анимация;Другие книги
480;5081;ЛОЖЬ;Фотореализм. Профессиональные приемы работы;42,95;ДМК;384;70х100/16;25.05.2000;3000;Графика и анимация;Другие книги
481;4695;ЛОЖЬ;Проектирование и дизайн пользовательского интерфейса;21,47;Корона Принт;352;70х100/16;10.08.1999;3000;Графика и анимация;Другие книги
482;5173;ЛОЖЬ;Инженерная графика. Просто и доступно. С приложением CD;46,21;Лори;492;70х100/16;20.09.2000;4000;Графика и анимация;Другие книги
483;3240;ЛОЖЬ;Как сделать красиво в 3D дизайне;15,81;Нолидж;288;70х100\16;05.02.1999;3000;Графика и анимация;Другие книги
484;4820;ЛОЖЬ;Corel Photo Paint 9;40,19;Познавательная книга;448;70х100/16;15.02.2000;4000;Графика и анимация;Другие книги
485;867;ЛОЖЬ;Создадим анимацию сами. Autodesk Animator Pro;4,46;Полибиг;174;42х54;;5000;Графика и анимация;Другие книги
486;5422;ЛОЖЬ;Maya 3.0. Моделирование и анимация;35,12;СОЛОН - Р;400;70х100/16;;4000;Графика и анимация;Другие книги
487;1500;ЛОЖЬ;Fractal  Design Painter 4 Compete.;27,16;Филинъ;424;70х100\16;30.03.1998;5000;Графика и анимация;Другие книги
488;4763;ЛОЖЬ;Внутрений мир QuarkXPress 4 с приложением.;39,00;DiaSoft;424;84х108/16;24.05.1999;3000;Издательские системы;QuarkXPress
489;1230;ЛОЖЬ;Quark XPress для Windows 95 .;8,50;МиК;448;84х108\32;29.04.1998;10000;Издательские системы;QuarkXPress
490;5163;ЛОЖЬ;Разработка сценариев для PageMaker ( + CD-ROM );29,00;DiaSoft;704;60х84/16;18.10.2000;3000;Издательские системы;PageMaker
491;4992;ЛОЖЬ;Для дизайнеров Adobe FrameMaker. Сложная вёрстка;50,83;ДМК;576;70х100/16;31.05.2000;3000;Издательские системы;Другие пакеты
492;4806;ЛОЖЬ;Создание публикаций в Corel Ventura 8;20,51;СОЛОН - Р;536;70х100/16;;5000;Издательские системы;Другие пакеты
493;4753;ЛОЖЬ;Внутренний мир AutoCAD 2000. ( + CD-ROM );34,00;DiaSoft;688;84х108/16;05.01.2000;3000;CAD-пакеты;AutoCAD
494;571;ЛОЖЬ;Внутренний мир AutoCAD (версия 13с4)   ( + CD-ROM );35,00;DiaSoft;704;;;0;CAD-пакеты;AutoCAD
495;3924;ЛОЖЬ;Внутренний мир AutoCAD 14. Новые возможности  ( + CD-ROM );49,00;DiaSoft;767;84х108/16;28.04.1999;3000;CAD-пакеты;AutoCAD
496;5064;ЛОЖЬ;AutoCAD 2000. Лекции и упражнения  (+ дискета);29,00;DiaSoft UP;784;70х100/16;22.08.2000;3000;CAD-пакеты;AutoCAD
497;4329;ЛОЖЬ;Inside AutoCAD 14 (+CD);284,76;New Riders Publishing;0;;;0;CAD-пакеты;AutoCAD
498;5095;ЛОЖЬ;Использование AutoCAD 2000. Специальное издание;47,40;Вильямс;832;70х100/16;15.08.2000;4000;CAD-пакеты;AutoCAD
499;5055;ЛОЖЬ;AutoCAD 2000. Практический курс издание 2-е дополненное и переработанное;20,65;ДЕСС КОМ;527;70х100/16;01.07.2000;5000;CAD-пакеты;AutoCAD
500;5426;ЛОЖЬ;Проектирование AutoLISP. Основы программирования в AutoCAD 2000;23,83;ДМК;416;70х100/16;25.10.2000;5000;CAD-пакеты;AutoCAD
501;4041;ЛОЖЬ;Трехмерное моделирование в AutoCAD 14. AutoLISP.;23,98;ДМК;352;70х100/16;07.09.1999;3000;CAD-пакеты;AutoCAD
502;3933;ЛОЖЬ;AutoLIPS. Программирование в AutoCAD 14;24,37;ДМК;368;70х100/16;15.06.1999;3000;CAD-пакеты;AutoCAD
503;3905;ЛОЖЬ;AutoCAD 2000 для всех;32,57;Компьютер Пресс;256;60х84/16;09.06.1999;5000;CAD-пакеты;AutoCAD
504;5108;ЛОЖЬ;AutoCAD 2000. Справочное руководство с CD-ROM;41,30;Лори;356;70х100/16;10.02.2000;4000;CAD-пакеты;AutoCAD
505;4279;ЛОЖЬ;AutoCAD 2000.Бестселлер с приложением;96,60;Лори;772;84х108/16;10.11.1999;3200;CAD-пакеты;AutoCAD
506;4262;ЛОЖЬ;AutoCAD 2000 на примерах;29,00;Юниор;540;60х84/16;01.10.1999;0;CAD-пакеты;AutoCAD
507;5211;ЛОЖЬ;ArchiCAD 6.5 Руководство по работе с программой;11,37;МиК;416;70х100/32;15.09.2000;3000;CAD-пакеты;ArchiCAD и другие
508;3764;ЛОЖЬ;Введение в архитектурно-пространственное моделирование проектных решений в программе ArchiCAD 6.0;7,28;Познавательная книга;192;60х84\16;12.02.1999;2000;CAD-пакеты;ArchiCAD и другие
509;4566;ЛОЖЬ;Тонкости,хитрости и секреты  ArchiCAD 6.0;7,29;Познавательная книга плюс;160;60х84/16;08.10.1999;4100;CAD-пакеты;ArchiCAD и другие
510;4631;ЛОЖЬ;Система проектирования цифровых устройств OrCAD 9.0;9,00;СОЛОН - Р;160;70х100/16;;5000;CAD-пакеты;ArchiCAD и другие
511;3868;ЛОЖЬ;Система P-CAD 8.5 - 8.7. Руководство пользователя;20,81;Солон;720;60х88/16;14.05.1999;5000;CAD-пакеты;ArchiCAD и другие
512;4673;ЛОЖЬ;Компьютер архитектор ArhiCAD;19,06;Эком;288;70х100/16;03.02.2000;5000;CAD-пакеты;ArchiCAD и другие
513;4308;ЛОЖЬ;Mathcad 8 для пользователя;17,63;ДМК;320;70х100/16;03.12.1999;0;Математические и статистические пакеты;MathCAD
514;3607;ЛОЖЬ;Mathcad 8 Pro для студентов и инженеров;18,02;Компьютер Пресс;0;;;0;Математические и статистические пакеты;MathCAD
515;4234;ЛОЖЬ;Mathcad 8 PRO в математике,физике и Internet;21,50;Нолидж;503;70х100/16;13.10.1999;3000;Математические и статистические пакеты;MathCAD
516;4835;ЛОЖЬ;MatLAB 5.х. Библиотека студента;7,50;BHV Киев;384;84х108/32;19.05.2000;8000;Математические и статистические пакеты;Matlab
517;4654;ЛОЖЬ;Введение в  Matlab;7,63;Диалог-МИФИ;247;60х84/16;19.01.2000;3000;Математические и статистические пакеты;Matlab
518;4815;ЛОЖЬ;Обработка сигналов и изображений Matlab 5.x;12,54;Диалог-МИФИ;416;60х84/16;18.04.2000;3000;Математические и статистические пакеты;Matlab
519;3988;ЛОЖЬ;Компьютерная система Mathematica 3.0 для пользователя. Справочное пособие;10,03;Солон;240;60х84/16;14.05.1999;3000;Математические и статистические пакеты;Другие системы
520;4108;ЛОЖЬ;Использование виртуальных инструментов LabVIEV;10,32;Солон;331;60х88/16;14.05.1999;5000;Математические и статистические пакеты;Другие системы
521;748;ЛОЖЬ;Введение в среду Mathematica 2.2;21,72;Филинъ;360;70х100\16;17.04.1997;8000;Математические и статистические пакеты;Другие системы
522;4943;ЛОЖЬ;Факсимильная связь в Windows.;17,49;BHV С.-Петербург;304;70х100/16;25.07.2000;3000;Сети, коммуникации и сетевые продукты;Сети в целом
